Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Middeltemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Snødybde
Folgefonna Skisenter;SN49085;23.11.2017;4.1;0.3;-4.6;28.4;62
Folgefonna Skisenter;SN49085;24.11.2017;-4.4;-5.3;-6;21.9;96
Folgefonna Skisenter;SN49085;25.11.2017;-4.3;-5.1;-6.6;18.2;117
Folgefonna Skisenter;SN49085;26.11.2017;-2.3;-4.1;-6;10.4;154
Folgefonna Skisenter;SN49085;27.11.2017;-4.3;-5.5;-8.9;6;152
Folgefonna Skisenter;SN49085;28.11.2017;-4.4;-5.6;-6.5;0.9;95
Folgefonna Skisenter;SN49085;29.11.2017;-4.3;-7.3;-10.4;0.1;94
Folgefonna Skisenter;SN49085;30.11.2017;-5.7;-;-9.6;0;-
Folgefonna Skisenter;SN49085;29.12.2017;-6.4;-6.9;-7.5;-;150
Folgefonna Skisenter;SN49085;30.12.2017;-3.7;-6;-8;3.5;177
Folgefonna Skisenter;SN49085;31.12.2017;-3.3;-4.4;-7.1;2.3;173
Folgefonna Skisenter;SN49085;01.01.2018;-1.7;-3;-4.5;-;-
Folgefonna Skisenter;SN49085;02.01.2018;-3.9;-4.7;-6.5;7.2;182
Folgefonna Skisenter;SN49085;03.01.2018;-4.1;-5.1;-5.9;4.3;-
Folgefonna Skisenter;SN49085;04.01.2018;-4.4;-5.3;-6.7;6.8;171
Folgefonna Skisenter;SN49085;05.01.2018;-4.7;-7.1;-9.4;0.3;166
Folgefonna Skisenter;SN49085;06.01.2018;-7.7;-10.4;-13;0;166
Folgefonna Skisenter;SN49085;07.01.2018;-3.6;-7.1;-14.9;-;167
Folgefonna Skisenter;SN49085;08.01.2018;-0.7;-;-8.3;-;181
Folgefonna Skisenter;SN49085;09.01.2018;2.6;-0.9;-4;-;178
Folgefonna Skisenter;SN49085;10.01.2018;1.6;-2.2;-3.9;-;151
Folgefonna Skisenter;SN49085;11.01.2018;-0.3;-1.5;-4.8;9.3;151
Folgefonna Skisenter;SN49085;12.01.2018;2.2;0.3;-2.7;0;151
Folgefonna Skisenter;SN49085;13.01.2018;2.1;-3.9;-8.2;0;151
Folgefonna Skisenter;SN49085;14.01.2018;-3.8;-6.2;-8.4;0.5;150
Folgefonna Skisenter;SN49085;15.01.2018;-5;-5.9;-8.3;0.2;164
Folgefonna Skisenter;SN49085;16.01.2018;-4.1;-6;-7.8;-;152
Folgefonna Skisenter;SN49085;17.01.2018;-6.6;-7.8;-9.7;-;150
Folgefonna Skisenter;SN49085;18.01.2018;-6.6;-7.7;-10.2;-;150
Folgefonna Skisenter;SN49085;19.01.2018;-5.9;-6.8;-8.9;-;150
Folgefonna Skisenter;SN49085;20.01.2018;-6.1;-7.1;-7.8;-;150
Folgefonna Skisenter;SN49085;21.01.2018;-6.5;-7.9;-10.2;-;150
Folgefonna Skisenter;SN49085;22.01.2018;-6.1;-7;-10.3;-;150
Folgefonna Skisenter;SN49085;23.01.2018;0.5;-2;-6.7;-;150
Folgefonna Skisenter;SN49085;24.01.2018;0.2;-2.3;-4.2;-;168
Folgefonna Skisenter;SN49085;25.01.2018;-1.8;-3.3;-3.9;-;-
Folgefonna Skisenter;SN49085;26.01.2018;-3.1;-6.4;-9.1;-;-
Folgefonna Skisenter;SN49085;27.01.2018;-3.4;-6.3;-11.5;-;-
Folgefonna Skisenter;SN49085;28.01.2018;-1.2;-2.7;-4;-;171
Folgefonna Skisenter;SN49085;29.01.2018;-3.3;-4.2;-4.7;-;212
Folgefonna Skisenter;SN49085;30.01.2018;-3.1;-4.5;-5.9;-;216
Folgefonna Skisenter;SN49085;31.01.2018;-2.5;-4.1;-5.2;-;237
Folgefonna Skisenter;SN49085;01.02.2018;-5;-6.1;-6.9;-;222
Folgefonna Skisenter;SN49085;02.02.2018;-5;-7.7;-9.8;-;209
Folgefonna Skisenter;SN49085;03.02.2018;-8.3;-10;-13.3;-;208
Folgefonna Skisenter;SN49085;04.02.2018;-6;-7.6;-12.1;-;208
Folgefonna Skisenter;SN49085;05.02.2018;-4.6;-6.7;-9;-;201
Folgefonna Skisenter;SN49085;06.02.2018;-6.5;-9.3;-10.6;-;202
Folgefonna Skisenter;SN49085;07.02.2018;-6.1;-7.3;-10.4;-;205
Folgefonna Skisenter;SN49085;08.02.2018;-3.3;-4.9;-9.1;-;206
Folgefonna Skisenter;SN49085;09.02.2018;-2.2;-3.2;-3.5;4;202
Folgefonna Skisenter;SN49085;10.02.2018;-3.2;-5.7;-7.1;1;201
Folgefonna Skisenter;SN49085;11.02.2018;-4.4;-7.1;-9.9;1.3;-
Folgefonna Skisenter;SN49085;12.02.2018;-6.3;-8;-10.4;5.1;179
Folgefonna Skisenter;SN49085;13.02.2018;-5.4;-6.6;-9.5;1.6;180
Folgefonna Skisenter;SN49085;14.02.2018;-4.7;-6.1;-7.1;0.7;179
Folgefonna Skisenter;SN49085;15.02.2018;-6.3;-6.9;-7.8;3.5;179
Folgefonna Skisenter;SN49085;16.02.2018;-3.5;-4.7;-6.8;3.3;179
Folgefonna Skisenter;SN49085;17.02.2018;-3.3;-4.7;-7.2;4.2;186
Folgefonna Skisenter;SN49085;18.02.2018;-3.8;-5.1;-6.4;-;178
Folgefonna Skisenter;SN49085;19.02.2018;-4.3;-6.5;-9.2;2.8;177
Folgefonna Skisenter;SN49085;20.02.2018;-5.9;-7.8;-10;0;176
Folgefonna Skisenter;SN49085;21.02.2018;-2.5;-5.8;-8;1.1;180
Folgefonna Skisenter;SN49085;22.02.2018;-3.5;-7.5;-10.1;0.1;179
Folgefonna Skisenter;SN49085;23.02.2018;-1.4;-6.4;-10.4;0;179
Folgefonna Skisenter;SN49085;24.02.2018;-3.8;-7.2;-9.4;0;179
Folgefonna Skisenter;SN49085;25.02.2018;-4.4;-8.1;-10.3;0.2;179
Folgefonna Skisenter;SN49085;26.02.2018;-5.9;-9.2;-11.5;4.1;185
Folgefonna Skisenter;SN49085;27.02.2018;-10.8;-;-19.1;2.7;179
Folgefonna Skisenter;SN49085;28.02.2018;-17.9;-19.7;-22.2;4.1;162
Folgefonna Skisenter;SN49085;01.03.2018;-11.2;-13.8;-19.9;4.6;161
Folgefonna Skisenter;SN49085;02.03.2018;-8.3;-10.7;-13.7;1.3;159
Folgefonna Skisenter;SN49085;03.03.2018;-6.2;-9.4;-11.4;1.4;159
Folgefonna Skisenter;SN49085;04.03.2018;-6.5;-10.8;-12.9;1.5;162
Folgefonna Skisenter;SN49085;05.03.2018;-7.8;-10.2;-12.9;0;158
Folgefonna Skisenter;SN49085;06.03.2018;-4.2;-7.9;-11.4;0;158
Folgefonna Skisenter;SN49085;07.03.2018;-2.9;-3.7;-8.6;0.1;158
Folgefonna Skisenter;SN49085;08.03.2018;-2.8;-5.3;-5.7;0.1;158
Folgefonna Skisenter;SN49085;09.03.2018;-2.9;-6.7;-8.9;0.5;158
Folgefonna Skisenter;SN49085;10.03.2018;0.2;-5.3;-8.8;0.7;160
Folgefonna Skisenter;SN49085;11.03.2018;-2.2;-4.5;-5.9;0;157
Folgefonna Skisenter;SN49085;12.03.2018;-1.4;-4.4;-6.5;3.8;160
Folgefonna Skisenter;SN49085;13.03.2018;0;-6.3;-8.6;1;161
Folgefonna Skisenter;SN49085;14.03.2018;-3.9;-7.6;-10.6;0;161
Folgefonna Skisenter;SN49085;15.03.2018;-5.9;-8.5;-10.3;0;157
Folgefonna Skisenter;SN49085;16.03.2018;-6.8;-12.4;-14.2;4.7;154
Folgefonna Skisenter;SN49085;17.03.2018;-6.9;-9.8;-15.3;2;153
Folgefonna Skisenter;SN49085;18.03.2018;-2.6;-7.9;-11.6;0;153
Folgefonna Skisenter;SN49085;19.03.2018;-3.1;-6.1;-8.5;0.1;154
Folgefonna Skisenter;SN49085;20.03.2018;-1.5;-7;-10.6;0.3;167
Folgefonna Skisenter;SN49085;21.03.2018;-4.2;-4.7;-7;1.4;181
Folgefonna Skisenter;SN49085;22.03.2018;2.8;-2.1;-7.2;2.3;175
Folgefonna Skisenter;SN49085;23.03.2018;2.7;-0.5;-2.7;0;173
Folgefonna Skisenter;SN49085;24.03.2018;-1.1;-3.5;-4.1;2.9;172
Folgefonna Skisenter;SN49085;25.03.2018;-3.2;-3.9;-4.5;3.5;174
Folgefonna Skisenter;SN49085;26.03.2018;-3.4;-5.2;-8.8;6;184
Folgefonna Skisenter;SN49085;27.03.2018;-4.1;-7.1;-8.3;0.4;177
Folgefonna Skisenter;SN49085;28.03.2018;-4;-7.8;-10;0.8;171
Folgefonna Skisenter;SN49085;29.03.2018;-5.3;-8.3;-12.1;0.6;204
Folgefonna Skisenter;SN49085;30.03.2018;-4.5;-9.2;-11.5;0.1;197
Folgefonna Skisenter;SN49085;31.03.2018;-6.1;-10.8;-13.8;0;197
Folgefonna Skisenter;SN49085;01.04.2018;-1.7;-9.8;-14.4;0;197
Folgefonna Skisenter;SN49085;02.04.2018;-2.1;-8.2;-12.4;0;197
Folgefonna Skisenter;SN49085;03.04.2018;-5.2;-6.6;-9.4;0;196
Folgefonna Skisenter;SN49085;04.04.2018;0.4;-1.8;-6.4;7.4;203
Folgefonna Skisenter;SN49085;05.04.2018;0.1;-4.6;-7.4;3.5;207
Folgefonna Skisenter;SN49085;06.04.2018;-4.7;-6;-8.8;2.1;205
Folgefonna Skisenter;SN49085;07.04.2018;2.5;-0.3;-5;0.6;200
Folgefonna Skisenter;SN49085;08.04.2018;3.9;2.3;0.7;2.3;199
Folgefonna Skisenter;SN49085;09.04.2018;2.3;0.8;-0.4;7.8;192
Folgefonna Skisenter;SN49085;10.04.2018;3.1;0.2;-2.3;2;191
Folgefonna Skisenter;SN49085;11.04.2018;10.7;4.6;-1;0;189
Folgefonna Skisenter;SN49085;12.04.2018;7;3.1;-0.1;0;188
Folgefonna Skisenter;SN49085;13.04.2018;8;4.7;0.5;0;185
Folgefonna Skisenter;SN49085;14.04.2018;10.5;8.6;4.1;0.1;174
Folgefonna Skisenter;SN49085;15.04.2018;9.8;7.4;5.6;0;159
Folgefonna Skisenter;SN49085;16.04.2018;6.7;4.2;3.2;0;153
Folgefonna Skisenter;SN49085;17.04.2018;4.4;2.4;1.6;0.1;35
Folgefonna Skisenter;SN49085;18.04.2018;4.5;3.2;1.3;9.3;32
Folgefonna Skisenter;SN49085;19.04.2018;8.2;6.5;3.1;0;27
Folgefonna Skisenter;SN49085;20.04.2018;7.6;3.4;0.9;0;18
Folgefonna Skisenter;SN49085;21.04.2018;0.9;-0.9;-2;3.3;21
Folgefonna Skisenter;SN49085;22.04.2018;5.5;2.8;-3.6;0.5;21
Folgefonna Skisenter;SN49085;23.04.2018;4.7;0.5;-0.6;10.4;13
Folgefonna Skisenter;SN49085;24.04.2018;0;-1.2;-1.8;16;38
Folgefonna Skisenter;SN49085;25.04.2018;0.2;-2;-3.4;7.1;58
Folgefonna Skisenter;SN49085;26.04.2018;1.8;-;-3.5;4.9;84
Folgefonna Skisenter;SN49085;27.04.2018;1.5;-1.6;-3.5;3.8;73
Folgefonna Skisenter;SN49085;28.04.2018;3.8;-2.3;-5.4;4.8;71
Folgefonna Skisenter;SN49085;29.04.2018;4.3;-1.4;-5.7;1.1;63
Folgefonna Skisenter;SN49085;30.04.2018;2.2;0.5;-3.4;0;59
Folgefonna Skisenter;SN49085;01.05.2018;2.2;-0.7;-2.7;2.8;56
Folgefonna Skisenter;SN49085;02.05.2018;1.1;-0.3;-2;1.7;56
Folgefonna Skisenter;SN49085;03.05.2018;0.6;-1.6;-2.7;1.5;57
Folgefonna Skisenter;SN49085;04.05.2018;2.6;1.3;-3.7;2.9;67
Folgefonna Skisenter;SN49085;05.05.2018;6.5;5.2;2;1.9;54
Folgefonna Skisenter;SN49085;06.05.2018;6.6;4.5;3;4.2;37
Folgefonna Skisenter;SN49085;07.05.2018;7.5;5.7;3;0.2;28
Folgefonna Skisenter;SN49085;08.05.2018;10.5;8.3;5.9;0;18
Folgefonna Skisenter;SN49085;09.05.2018;10.4;8.4;6.2;0;0
Folgefonna Skisenter;SN49085;10.05.2018;10;-;3.1;0;0
Folgefonna Skisenter;SN49085;11.05.2018;8.9;4.9;0.3;4.7;0
Folgefonna Skisenter;SN49085;12.05.2018;8.9;6.7;4.2;0;0
Folgefonna Skisenter;SN49085;13.05.2018;10;7.5;3.5;0;0
Folgefonna Skisenter;SN49085;14.05.2018;11.5;9.8;6.3;0;0
Folgefonna Skisenter;SN49085;15.05.2018;12.2;-;7.9;0;0
Folgefonna Skisenter;SN49085;16.05.2018;10.6;3.8;2.4;0;0
Folgefonna Skisenter;SN49085;17.05.2018;7.3;4.1;-0.6;0.1;0
Folgefonna Skisenter;SN49085;18.05.2018;7.2;5.7;3;0;0
Folgefonna Skisenter;SN49085;19.05.2018;8.6;6.2;2.2;0;0
Folgefonna Skisenter;SN49085;20.05.2018;8.8;6.2;4.3;0;0
Folgefonna Skisenter;SN49085;21.05.2018;11.2;-;4.9;0;0
Folgefonna Skisenter;SN49085;22.05.2018;11.7;7.9;3.7;0;0
Folgefonna Skisenter;SN49085;23.05.2018;11.2;9.1;5;0;0
Folgefonna Skisenter;SN49085;24.05.2018;11.6;10.2;8.7;0;0
Folgefonna Skisenter;SN49085;25.05.2018;13.9;9.9;7.3;0;0
Folgefonna Skisenter;SN49085;26.05.2018;15.6;12.5;7.9;0;0
Folgefonna Skisenter;SN49085;27.05.2018;15.5;13.6;11.8;0;0
Folgefonna Skisenter;SN49085;28.05.2018;14.7;11;7.7;0;0
Folgefonna Skisenter;SN49085;29.05.2018;15.3;12.1;8;0;0
Folgefonna Skisenter;SN49085;30.05.2018;17.7;14.9;11.4;0;0
Folgefonna Skisenter;SN49085;31.05.2018;17;13.6;8.9;0;0
Folgefonna Skisenter;SN49085;01.06.2018;15.5;12.5;9.5;0;0
Folgefonna Skisenter;SN49085;02.06.2018;15.5;12.9;9.4;0;0
Folgefonna Skisenter;SN49085;03.06.2018;15.4;11.2;8.7;0;0
Folgefonna Skisenter;SN49085;04.06.2018;13.8;10.6;7;0;0
Folgefonna Skisenter;SN49085;05.06.2018;13.3;9.5;7.9;0;0
Folgefonna Skisenter;SN49085;06.06.2018;10.7;8.5;6.3;0;0
Folgefonna Skisenter;SN49085;07.06.2018;12.2;8.9;5.4;0;0
Folgefonna Skisenter;SN49085;08.06.2018;13.8;11.5;6.9;0;0
Folgefonna Skisenter;SN49085;09.06.2018;14.1;12;10.2;0;0
Folgefonna Skisenter;SN49085;10.06.2018;13.2;9.6;8.3;0;0
Folgefonna Skisenter;SN49085;11.06.2018;9.2;6.2;4.3;24;0
Folgefonna Skisenter;SN49085;12.06.2018;8.3;5.3;4.1;0.2;0
Folgefonna Skisenter;SN49085;13.06.2018;8.6;5.1;2.8;0;0
Folgefonna Skisenter;SN49085;14.06.2018;10;-;3.2;0.7;0
Folgefonna Skisenter;SN49085;15.06.2018;6.1;1.9;0.3;28.6;0
Folgefonna Skisenter;SN49085;16.06.2018;7.2;4.7;1.9;8.8;0
Folgefonna Skisenter;SN49085;17.06.2018;8.2;5.3;3.5;3.2;0
Folgefonna Skisenter;SN49085;18.06.2018;6.5;4.1;2.4;0.7;0
Folgefonna Skisenter;SN49085;19.06.2018;3.1;1.1;0.5;18.4;0
Folgefonna Skisenter;SN49085;20.06.2018;4.2;1.3;0;34.2;5
Folgefonna Skisenter;SN49085;21.06.2018;2.6;0.5;-1.3;3.1;3
Folgefonna Skisenter;SN49085;22.06.2018;5;1.9;0.2;3.3;0
Folgefonna Skisenter;SN49085;23.06.2018;6;3.6;1.1;0.2;0
Folgefonna Skisenter;SN49085;24.06.2018;7.5;5.6;3;0;0
Folgefonna Skisenter;SN49085;25.06.2018;11.2;8.6;4.9;0.9;0
Folgefonna Skisenter;SN49085;26.06.2018;13.5;10.9;6.6;0.3;0
Folgefonna Skisenter;SN49085;27.06.2018;14.7;-;8.8;0;0
Folgefonna Skisenter;SN49085;28.06.2018;13.1;-;8.2;0;0
Folgefonna Skisenter;SN49085;29.06.2018;14.9;10.5;5.5;0;0
Folgefonna Skisenter;SN49085;30.06.2018;14.4;10.9;8.6;0;0
Folgefonna Skisenter;SN49085;01.07.2018;15.8;11.3;8.2;0;0
Folgefonna Skisenter;SN49085;02.07.2018;14.4;9.2;6.8;0;0
Folgefonna Skisenter;SN49085;03.07.2018;15.2;11.3;6;0;0
Folgefonna Skisenter;SN49085;04.07.2018;16.3;14.3;11.2;0;0
Folgefonna Skisenter;SN49085;05.07.2018;14.2;11.1;8.9;0;0
Folgefonna Skisenter;SN49085;06.07.2018;10.1;6.4;4.5;0;0
Folgefonna Skisenter;SN49085;07.07.2018;12;7.6;3.4;0;0
Folgefonna Skisenter;SN49085;08.07.2018;11.1;8.3;7.1;0;0
Folgefonna Skisenter;SN49085;09.07.2018;11.4;6.9;1.7;0.3;0
Folgefonna Skisenter;SN49085;10.07.2018;17.5;13.6;9;0;0
Folgefonna Skisenter;SN49085;11.07.2018;17.4;13.3;10.4;0;0
Folgefonna Skisenter;SN49085;12.07.2018;14.2;12.1;10.6;2.2;0
Folgefonna Skisenter;SN49085;13.07.2018;14.4;10.8;7.8;0;0
Folgefonna Skisenter;SN49085;14.07.2018;12.7;9.3;6.2;0;0
Folgefonna Skisenter;SN49085;15.07.2018;14.6;11.4;7;0;0
Folgefonna Skisenter;SN49085;16.07.2018;14.1;11.8;8.6;0;0
Folgefonna Skisenter;SN49085;17.07.2018;15.6;13.4;9.7;0;0
Folgefonna Skisenter;SN49085;18.07.2018;14.3;9.4;6.1;9;0
Folgefonna Skisenter;SN49085;19.07.2018;12.3;8.6;4.1;0.4;0
Folgefonna Skisenter;SN49085;20.07.2018;11;8.7;6.5;0;0
Folgefonna Skisenter;SN49085;21.07.2018;9.6;7.6;5.8;0;0
Folgefonna Skisenter;SN49085;22.07.2018;10.5;7.8;5.3;0.2;0
Folgefonna Skisenter;SN49085;23.07.2018;12.4;9.6;6.6;0;0
Folgefonna Skisenter;SN49085;24.07.2018;12.3;10.4;8.3;0;0
Folgefonna Skisenter;SN49085;25.07.2018;12.2;8.5;7;12.7;0
Folgefonna Skisenter;SN49085;26.07.2018;15.2;11.6;6.3;0;0
Folgefonna Skisenter;SN49085;27.07.2018;20;17.2;11.1;0;0
Folgefonna Skisenter;SN49085;28.07.2018;20.4;14.9;13.4;0;0
Folgefonna Skisenter;SN49085;29.07.2018;16.2;9.8;6.7;15.2;0
Folgefonna Skisenter;SN49085;30.07.2018;13.3;11.5;8.3;1.7;0
Folgefonna Skisenter;SN49085;31.07.2018;14.1;11.6;8.8;0.7;0
Folgefonna Skisenter;SN49085;01.08.2018;11.1;8.5;6.2;24.1;0
Folgefonna Skisenter;SN49085;02.08.2018;9.9;8.4;6.8;0.1;0
Folgefonna Skisenter;SN49085;03.08.2018;11.2;9;6.9;1.3;0
Folgefonna Skisenter;SN49085;04.08.2018;11;8;6.3;5.4;0
Folgefonna Skisenter;SN49085;05.08.2018;6.6;4.6;4;2.5;0
Folgefonna Skisenter;SN49085;06.08.2018;7.8;6.3;3.1;0.7;0
Folgefonna Skisenter;SN49085;07.08.2018;12;10;7.2;1.9;0
Folgefonna Skisenter;SN49085;08.08.2018;13.7;9.5;8.4;0;0
Folgefonna Skisenter;SN49085;09.08.2018;10.3;6.8;4.9;16.9;0
Folgefonna Skisenter;SN49085;10.08.2018;8;5.3;4.4;7.4;0
Folgefonna Skisenter;SN49085;11.08.2018;5.3;4.1;3;28.4;0
Folgefonna Skisenter;SN49085;12.08.2018;8;5.1;2.4;3.4;0
Folgefonna Skisenter;SN49085;13.08.2018;10.3;7.6;3.8;0;0
Folgefonna Skisenter;SN49085;14.08.2018;10;8;6.1;0;0
Folgefonna Skisenter;SN49085;15.08.2018;9.7;8.1;5.9;0;0
Folgefonna Skisenter;SN49085;16.08.2018;10;7.6;6.7;14.7;0
Folgefonna Skisenter;SN49085;17.08.2018;7.2;4.8;3;31.9;0
Folgefonna Skisenter;SN49085;18.08.2018;8;5.7;4.6;11.3;0
Folgefonna Skisenter;SN49085;19.08.2018;5.7;4.7;4;33.3;0
Folgefonna Skisenter;SN49085;20.08.2018;5.4;3.7;2.7;0;0
Folgefonna Skisenter;SN49085;21.08.2018;6.9;4.8;2;0.1;0
Folgefonna Skisenter;SN49085;22.08.2018;10.3;7.8;4.9;1.9;0
Folgefonna Skisenter;SN49085;23.08.2018;7.2;4.9;3;60.1;0
Folgefonna Skisenter;SN49085;24.08.2018;6.1;2.6;0.9;1.9;0
Folgefonna Skisenter;SN49085;25.08.2018;3.6;2.3;0.7;3.9;0
Folgefonna Skisenter;SN49085;26.08.2018;4.8;2.9;1.3;4.2;0
Folgefonna Skisenter;SN49085;27.08.2018;7.2;5.6;2.8;4.1;0
Folgefonna Skisenter;SN49085;28.08.2018;7.9;6.4;4.4;1.2;0
Folgefonna Skisenter;SN49085;29.08.2018;8.5;5.9;5;0.1;0
Folgefonna Skisenter;SN49085;30.08.2018;7.1;4.5;1.8;9.8;-
Folgefonna Skisenter;SN49085;31.08.2018;8.4;6.8;3.8;0;0
Folgefonna Skisenter;SN49085;01.09.2018;7.6;6;4.7;0;0
Folgefonna Skisenter;SN49085;02.09.2018;11;8.2;5;0;0
Folgefonna Skisenter;SN49085;03.09.2018;10.8;7.7;5.8;0;0
Folgefonna Skisenter;SN49085;04.09.2018;10.3;7.4;4.2;0;0
Folgefonna Skisenter;SN49085;05.09.2018;10.3;8.1;5.1;0;0
Folgefonna Skisenter;SN49085;06.09.2018;9.9;8.7;5.6;0;0
Folgefonna Skisenter;SN49085;07.09.2018;9.9;8.7;7.9;1.2;0
Folgefonna Skisenter;SN49085;08.09.2018;9.3;6.7;4.3;0.5;0
Folgefonna Skisenter;SN49085;09.09.2018;7.8;5.7;3.6;8.4;0
Folgefonna Skisenter;SN49085;10.09.2018;7.9;4.3;3.1;9.7;0
Folgefonna Skisenter;SN49085;11.09.2018;5.4;3.8;2.9;18.4;0
Folgefonna Skisenter;SN49085;12.09.2018;3.7;1.6;-0.1;53.4;0
Folgefonna Skisenter;SN49085;13.09.2018;3.4;1.7;0.6;34.2;4
Folgefonna Skisenter;SN49085;14.09.2018;4.1;1.5;0.3;40.9;8
Folgefonna Skisenter;SN49085;15.09.2018;1.9;0.7;0;29.4;8
Folgefonna Skisenter;SN49085;16.09.2018;6.4;3.1;0.5;8.2;9
Folgefonna Skisenter;SN49085;17.09.2018;5.4;3.1;0.6;26.8;0
Folgefonna Skisenter;SN49085;18.09.2018;12.1;9.3;3.8;8.5;0
Folgefonna Skisenter;SN49085;19.09.2018;9.7;-;5.7;11.4;0
Folgefonna Skisenter;SN49085;20.09.2018;6.4;-;1;19;-
Folgefonna Skisenter;SN49085;21.09.2018;7;-;0.5;5;-
Folgefonna Skisenter;SN49085;22.09.2018;1.9;-;-2;32;-
Folgefonna Skisenter;SN49085;23.09.2018;0.9;-;-2.3;24;-
Folgefonna Skisenter;SN49085;24.09.2018;-2.2;-;-4.3;0.5;-
Folgefonna Skisenter;SN49085;26.09.2018;6.1;2.7;0.3;59.1;15
Folgefonna Skisenter;SN49085;27.09.2018;2;0.3;-0.2;11.8;15
Folgefonna Skisenter;SN49085;28.09.2018;-0.1;-2.2;-2.8;17.5;22
Folgefonna Skisenter;SN49085;29.09.2018;1.8;0.7;-2.1;7.3;32
Folgefonna Skisenter;SN49085;30.09.2018;2.3;-0.5;-1.1;59.2;44
Folgefonna Skisenter;SN49085;01.10.2018;0.4;-;-1.5;21.7;67
Folgefonna Skisenter;SN49085;02.10.2018;0.3;-;-2.6;5.8;0
Folgefonna Skisenter;SN49085;03.10.2018;-1.2;-2.3;-2.9;20.4;101
Folgefonna Skisenter;SN49085;04.10.2018;5.3;2.8;-3.5;3.6;93
Folgefonna Skisenter;SN49085;05.10.2018;4.8;-1;-1.4;18.6;77
Folgefonna Skisenter;SN49085;06.10.2018;-0.8;-2.1;-3.1;16.5;105
Folgefonna Skisenter;SN49085;07.10.2018;0.5;-2.1;-6;3.7;107
Folgefonna Skisenter;SN49085;08.10.2018;4.5;1.8;-1.4;9.7;76
Folgefonna Skisenter;SN49085;09.10.2018;5.4;5;0.6;17.6;67
Folgefonna Skisenter;SN49085;10.10.2018;9.9;7.2;4.8;19.5;53
Folgefonna Skisenter;SN49085;11.10.2018;12.4;9.7;7.3;0.4;36
Folgefonna Skisenter;SN49085;12.10.2018;9.9;7.9;6.6;0;13
Folgefonna Skisenter;SN49085;13.10.2018;11.8;9.2;6.5;14.9;0
Folgefonna Skisenter;SN49085;14.10.2018;12.3;7;3.7;17.8;0
Folgefonna Skisenter;SN49085;15.10.2018;3.8;0.8;-0.9;9.7;0
Folgefonna Skisenter;SN49085;16.10.2018;6.1;4.1;-1.3;0;0
Folgefonna Skisenter;SN49085;17.10.2018;6;3.3;1.1;2.3;0
Folgefonna Skisenter;SN49085;18.10.2018;1.2;-0.6;-1.2;12.1;2
Folgefonna Skisenter;SN49085;19.10.2018;2.6;0.3;-2.1;1.5;3
Folgefonna Skisenter;SN49085;20.10.2018;2.9;1.7;-0.5;4.9;5
Folgefonna Skisenter;SN49085;21.10.2018;7.8;3.4;-0.8;5.2;0
Folgefonna Skisenter;SN49085;22.10.2018;0.2;-1.5;-2.9;24.3;14
Folgefonna Skisenter;SN49085;23.10.2018;1.2;-2;-4.1;42.9;71
Folgefonna Skisenter;SN49085;24.10.2018;0;-2.7;-4.8;2.6;70
Folgefonna Skisenter;SN49085;25.10.2018;1.8;-1.9;-3.2;8.3;73
Folgefonna Skisenter;SN49085;26.10.2018;-2.6;-4.2;-6.3;0.9;75
Folgefonna Skisenter;SN49085;27.10.2018;-4.2;-6.4;-7.6;0;62
Folgefonna Skisenter;SN49085;28.10.2018;-4.4;-6.4;-9.4;0;60
Folgefonna Skisenter;SN49085;29.10.2018;-4.7;-8;-9.8;0;60
Folgefonna Skisenter;SN49085;30.10.2018;-0.2;-3.9;-7.7;0;58
Folgefonna Skisenter;SN49085;31.10.2018;3.1;-0.1;-3.2;6.1;57
Folgefonna Skisenter;SN49085;01.11.2018;2.3;0.7;-2.7;4.7;58
Folgefonna Skisenter;SN49085;02.11.2018;2.5;-0.4;-2.5;11.4;61
Folgefonna Skisenter;SN49085;03.11.2018;4.4;0.6;-3.6;4.2;68
Folgefonna Skisenter;SN49085;04.11.2018;5.8;3.1;1.4;1.8;52
Folgefonna Skisenter;SN49085;05.11.2018;6.2;3.6;1.2;0;50
Folgefonna Skisenter;SN49085;06.11.2018;11.3;7.4;1.8;0;47
Folgefonna Skisenter;SN49085;07.11.2018;11.6;8.6;4.7;0;37
Folgefonna Skisenter;SN49085;08.11.2018;8.2;3.1;1.8;0;23
Folgefonna Skisenter;SN49085;09.11.2018;5.4;2;0.4;3.1;17
Folgefonna Skisenter;SN49085;10.11.2018;3.8;2.5;1;0.1;17
Folgefonna Skisenter;SN49085;11.11.2018;4;3;2.1;12.1;14
Folgefonna Skisenter;SN49085;12.11.2018;3.6;1.5;0;3.7;8
Folgefonna Skisenter;SN49085;13.11.2018;1.8;0.8;-0.1;5.5;13
Folgefonna Skisenter;SN49085;14.11.2018;3.1;-;-0.7;8.9;22
Folgefonna Skisenter;SN49085;15.11.2018;6.9;-;2.7;0.1;7
Folgefonna Skisenter;SN49085;16.11.2018;4.9;3.9;2;0;0
Folgefonna Skisenter;SN49085;17.11.2018;8.2;5.9;2.6;0;0
Folgefonna Skisenter;SN49085;18.11.2018;9.3;3.5;0;-;0
Folgefonna Skisenter;SN49085;19.11.2018;5.1;2.2;-1.6;0;0
Folgefonna Skisenter;SN49085;20.11.2018;5;2.8;0.9;0;0
Folgefonna Skisenter;SN49085;21.11.2018;3.4;-;-2.1;0;0
