Navn;Stasjon;Tid(norsk normaltid);Middel av middelvind fra hovedobs. (døgn)
Folgefonna Skisenter;SN49085;02.02.2016;5.7
Folgefonna Skisenter;SN49085;03.02.2016;4.9
Folgefonna Skisenter;SN49085;04.02.2016;4.3
Folgefonna Skisenter;SN49085;05.02.2016;7
Folgefonna Skisenter;SN49085;06.02.2016;8.9
Folgefonna Skisenter;SN49085;07.02.2016;10.9
Folgefonna Skisenter;SN49085;08.02.2016;9.7
Folgefonna Skisenter;SN49085;09.02.2016;5.1
Folgefonna Skisenter;SN49085;10.02.2016;3.6
Folgefonna Skisenter;SN49085;11.02.2016;6.7
Folgefonna Skisenter;SN49085;12.02.2016;2.2
Folgefonna Skisenter;SN49085;13.02.2016;2
Folgefonna Skisenter;SN49085;14.02.2016;1.5
Folgefonna Skisenter;SN49085;15.02.2016;1.7
Folgefonna Skisenter;SN49085;16.02.2016;7.6
Folgefonna Skisenter;SN49085;17.02.2016;11.1
Folgefonna Skisenter;SN49085;18.02.2016;7
Folgefonna Skisenter;SN49085;19.02.2016;9.4
Folgefonna Skisenter;SN49085;20.02.2016;8.2
Folgefonna Skisenter;SN49085;21.02.2016;6.1
Folgefonna Skisenter;SN49085;22.02.2016;4.3
Folgefonna Skisenter;SN49085;23.02.2016;3.5
Folgefonna Skisenter;SN49085;24.02.2016;2.9
Folgefonna Skisenter;SN49085;25.02.2016;1.6
Folgefonna Skisenter;SN49085;26.02.2016;1.5
Folgefonna Skisenter;SN49085;27.02.2016;1.2
Folgefonna Skisenter;SN49085;28.02.2016;1.7
Folgefonna Skisenter;SN49085;29.02.2016;5.4
Folgefonna Skisenter;SN49085;01.03.2016;17.8
Folgefonna Skisenter;SN49085;02.03.2016;12.6
Folgefonna Skisenter;SN49085;03.03.2016;6.9
Folgefonna Skisenter;SN49085;04.03.2016;5
Folgefonna Skisenter;SN49085;05.03.2016;4.5
Folgefonna Skisenter;SN49085;06.03.2016;10.3
Folgefonna Skisenter;SN49085;07.03.2016;3.6
Folgefonna Skisenter;SN49085;08.03.2016;5.2
Folgefonna Skisenter;SN49085;09.03.2016;5.8
Folgefonna Skisenter;SN49085;10.03.2016;1.7
Folgefonna Skisenter;SN49085;11.03.2016;2.9
Folgefonna Skisenter;SN49085;12.03.2016;3.2
Folgefonna Skisenter;SN49085;13.03.2016;5
Folgefonna Skisenter;SN49085;14.03.2016;1.6
Folgefonna Skisenter;SN49085;15.03.2016;1.7
Folgefonna Skisenter;SN49085;16.03.2016;1
Folgefonna Skisenter;SN49085;17.03.2016;2.3
Folgefonna Skisenter;SN49085;18.03.2016;1.7
Folgefonna Skisenter;SN49085;19.03.2016;3.8
Folgefonna Skisenter;SN49085;20.03.2016;4.2
Folgefonna Skisenter;SN49085;21.03.2016;3.6
